Fusion Egress+: R4_DETECTION(timestamp=1743607812.9999952, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=43.8814206, RangeRate=0.0, Pwr=0.0, Az=17.7777799, El=0.0, ID='BEACON-TX-ID:00005555', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607813.0999951, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=42.3360348, RangeRate=0.0, Pwr=0.0, Az=17.7333355, El=0.0, ID='BEACON-TX-ID:00005555', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607813.1999950, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=3.0399990, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607813.2999949, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=3.0599990, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607813.3999949, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=3.0799990, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607813.4999948, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=3.0999990, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607813.5999947, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=3.1199989, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607813.6999946, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=3.1399989, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607813.7999945, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=3.1599989, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607813.8999944, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=3.1799989, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607813.9999943, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=136.0210027, RangeRate=0.0, Pwr=0.0, Az=17.3333359, El=0.0, ID='BEACON-TX-ID:00005555', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607814.0999942, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=99.1791519, RangeRate=0.0, Pwr=0.0, Az=17.2888915, El=0.0, ID='BEACON-TX-ID:00005555', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607814.1999941, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=3.2399988, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607814.2999940, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=3.2599988, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
Fusion Egress+: R4_DETECTION(timestamp=1743607814.3999939, sensor='R_El_R_Az', src='TRACK1', X=0.0, Y=0.0, Z=0.0, Xdir=0.0, Ydir=0.0, Zdir=0.0, Range=3.2799988, RangeRate=0.0, Pwr=0.0, Az=0.0000000, El=0.0, ID='R4_FUSION_anon', Xsize=0.0, Ysize=0.0, Zsize=0.0, Conf=0.0)
